id,address
1027573,530 S QUITMAN ST
1027575,522 S NEWTON ST
1027576,3761 W WALSH PL
1027582,655 S QUITMAN ST
1027592,697 S PATTON CT
1027593,687 S PATTON CT
1027594,941 S ALCOTT ST
1027599,1100 S SHOSHONE ST
1027605,859 S TEJON ST
1027652,3900 NEWTON ST
1027663,3620 W 41ST AVE
1027669,2850 N MONACO STREET PKWY
1027670,2930 MONACO PKWY
1027680,3632 STUART ST
1027682,3521 N RALEIGH ST
1027690,3455 DECATUR ST
1027693,3453 DECATUR ST
1027694,3086 W DENVER PL
1027697,4904 MEADE ST
1027698,4887 NEWTON ST
1027725,400 E 3RD AVE APT 303
1027733,5545 WORCHESTER ST
1027738,5544 WORCHESTER ST
1027758,3516 N GARFIELD ST
1027759,3510 N GARFIELD ST
1027771,5522 CARSON ST
1027804,1368 WOLFF ST
1027812,1245 XAVIER ST
1027816,4640 W 9TH AVE
1027817,916 YATES ST
1027823,937 YATES ST
1027837,1033 S RALEIGH ST
1027844,1021 S PERRY ST
1027846,1057 S PERRY ST
1027849,1020 S PERRY ST
1027850,1065 S PERRY ST
1027853,3535 EUDORA ST
1070194,987 S EMPORIA ST
1070243,4137 HALIFAX ST
1070245,4200 GENOA ST
1070251,4345 GENOA ST
1070253,19623 E 42ND AVE
1070265,21125 E SCOTT PL
1070275,4705 ODESSA ST
1070276,4575 NEPAL ST
1070300,3505 E MONTANA PL
1070312,1641 S ADAMS ST
1070316,3581 FOREST ST
1070322,3555 FOREST ST
1070323,3560 FOREST ST
1070325,3545 FOREST ST
1070339,1919 E 36TH AVE
1080368,9230 E GIRARD AVE APT 2
1080370,9005 E LEHIGH AVE APT 6
1080382,9105 E LEHIGH AVE APT 81
1080384,9210 E GIRARD AVE APT 9
1080387,9210 E GIRARD AVE APT 12
1080388,9200 E GIRARD AVE APT 1
1138389,2281 W CUSTER PL
1138390,721 S VALLEJO ST
1138399,690 S ALCOTT ST
1138400,680 S ALCOTT ST
1138409,3701 S SPRUCE ST
1138413,3975 S SYRACUSE WAY
1138423,4571 W BINGHAM PL
1151675,1400 KNOX CT
1151676,1442 KING ST
1151679,1414 JULIAN ST
1151682,1465 PERRY ST
1151684,240 S IRVING ST
1151685,63 PERRY ST
1151706,4054 MALTA ST
1151717,4079 ORLEANS ST
1151721,4074 ORLEANS ST
1151724,4060 ORLEANS ST
1151747,3500 NEWPORT ST
1151749,3235 NEWPORT ST
1151761,3228 OLIVE ST
1151778,53 KING ST
1151785,36 KING ST
1151787,21303 E 44TH AVE
1151791,4709 ORLEANS ST
1151795,21487 E 47TH AVE
1151817,4620 ZUNI ST
1151818,4609 ZUNI ST
1151821,4630 ZUNI ST
1151823,4631 ZUNI ST
1151833,15666 E 51ST PL
1151855,3590 HUDSON ST
1151861,419 INCA ST
1151862,404 FOX ST
1151871,617 W 2ND AVE
1151874,243 INCA ST
1151892,3932 N ADAMS ST
1151896,3933 N ADAMS ST
1151931,3320 W 46TH AVE
1151949,3108 W EXPOSITION AVE
1151987,1865 W DIXIE PL
1151991,1845 W DIXIE PL
1152014,5035 NEWTON ST
1152019,5078 STUART ST
1152028,5144 PERRY ST
1152036,2833 W IRVINGTON PL
1152040,2890 W ELLSWORTH AVE
1152068,1476 XAVIER ST
1152072,1421 XAVIER ST
1152082,821 S PATTON CT
1152093,14945 ROBINS DR
1152101,5524 DEARBORN ST
1152114,3853 ORLEANS CT
1152115,3854 ORLEANS CT
1152128,2248 N RACE ST
1152138,2130 N HIGH ST
1152142,2143 N HIGH ST
1152154,4008 NEWTON ST
1152164,5990 E 29TH AVE
1152165,3746 N JACKSON ST
1152167,2315 N GLENCOE ST
1152184,2933 IRVING ST
1152197,2651 JAVA CT
1152199,3321 W 29TH AVE
